Number of words in the file = 1063
Number unique  words in the file = 497



Frequency table sorted alphabetically ...

350                     1
a                      15
abandon                 1
about                   1
absolute                1
academy                 1
access                  1
acknowledge             1
administration          1
adopt                   1
adviser                 1
afar                    1
after                   2
agenda                  1
aggressive              1
ahead                   1
all                     1
also                    3
american                2
among                   1
an                      8
and                    20
anyone                  1
anything                2
appear                  1
are                     3
argue                   1
art                     1
as                     14
assured                 1
at                      7
author                  1
authoritarian           1
aware                   1
away                    1
balanced                1
battle                  1
be                      5
bedrock                 1
began                   1
begin                   1
beijing                 4
believe                 2
between                 1
big                     1
biggest                 1
bill                    1
bishop                  1
blog                    1
borders                 1
both                    1
broadband               1
broader                 1
brook                   1
brookings               1
builds                  1
but                     8
by                      2
came                    1
cancel                  1
cause                   1
cellular                1
censors                 3
censorship              2
challenged              1
change                  1
chief                   2
china                  17
china's                12
chinalabscom            1
chinese                14
choose                  1
chose                   1
cited                   1
climate                 1
clinton                 1
collaborators           1
commercial              1
commonly                1
communications          2
communist               1
community               2
companies               6
company                 2
company's               1
competition             1
concerns                1
conclusion              1
confrontation           1
connections             1
control                 2
cooperating             1
copy                    1
core                    2
correct                 1
cost                    1
could                   4
countervailing          1
country                 1
couple                  1
course                  1
daily                   1
dams                    1
day                     1
deal                    2
decades                 1
decision                1
declaring               1
declining               1
deeply                  1
defend                  1
degree                  1
democratic              1
departure               2
despite                 1
determination           1
development             1
did                     1
digicha                 1
digital                 1
dilemma                 1
diplomacy               1
director                1
do                      2
does                    3
domestic                1
down                    1
each                    2
early                   1
economic                1
economically            1
economy                 1
editor                  1
effectively             3
effort                  1
employs                 1
end                     1
engaged                 1
engine                  3
enjoys                  1
entrepreneur            1
especially              1
even                    5
everyone                1
exclude                 1
executive               1
exit                    1
expected                1
experiment              1
experts                 1
fact                    1
failed                  1
fang                    1
fast                    1
fealty                  1
fear                    1
filtering               1
finally                 1
fine                    1
firewall                1
flow                    1
for                     4
force                   1
forced                  1
forcing                 1
former                  1
found                   1
founder                 1
four-year               1
free-speech             1
freedom                 1
from                    4
fully                   1
g                       1
giant                   1
given                   1
global                  2
good                    1
google                  9
google's                6
googlecomhk             1
got                     1
government              5
greater                 1
grip                    2
growth                  1
had                     2
harder                  1
has                     5
have                    5
having                  1
he                      2
healthy                 1
hegemony                1
here                    1
high-speed              1
highly                  1
history                 1
hole                    1
home                    1
hong                    1
hosted                  1
i                       2
ideological             1
if                      1
image                   1
imperfections           1
implication             1
in                     20
inc                     1
increasingly            1
industry                3
influence               1
influential             1
information             6
inhibited               1
innovation              1
innovator               1
inside                  2
instability             1
institute               2
institution             1
interest                1
interests               1
international           3
internet               12
intervention            1
interview               1
intransigent            1
invested                1
is                     14
issue                   2
issues                  2
it                     15
its                    21
itself                  1
january                 2
juggernaut              1
just                    3
kenneth                 1
keys                    1
kingdom                 1
know                    1
knows                   1
kong-based              1
lack                    1
largest                 1
lead                    1
leaders                 5
leadership              2
least                   1
leave                   2
leaves                  1
leaving                 1
lieberthal              2
limitless               1
lined                   1
lines                   1
links                   1
little                  1
longer                  1
magic                   1
mainland                3
maintain                1
major                   2
majority                1
make                    1
mantra                  1
many                    1
may                     3
